root=Avatar_Sparxie_00_Model_Chara
avatar=Avatar_Sparxie_00_Model_CharaAvatar
format=smrPath	index	bonePath(m_Bones)	boneHash(hex)	hashPath(avatar)	status
Avatar_Sparxie_00_Model_Chara/Body	0	Avatar_Sparxie_00_Model_Chara/Main/Root_M/Spine1_M/skirt_JNT/skirtFront_01_JNT	0xEAFAC734	Main/Root_M/Spine1_M/skirt_JNT/skirtFront_01_JNT	match
Avatar_Sparxie_00_Model_Chara/Body	1	Avatar_Sparxie_00_Model_Chara/Main/Root_M/Spine1_M/skirt_JNT/skirtFront_01_JNT/skirtFront_02_JNT	0x7DC3E84A	Main/Root_M/Spine1_M/skirt_JNT/skirtFront_01_JNT/skirtFront_02_JNT	match
Avatar_Sparxie_00_Model_Chara/Body	2	Avatar_Sparxie_00_Model_Chara/Main/Root_M/Spine1_M/skirt_JNT/skirtFront_01_JNT/skirtFront_02_JNT/skirtFront_03_JNT	0xC5406DC7	Main/Root_M/Spine1_M/skirt_JNT/skirtFront_01_JNT/skirtFront_02_JNT/skirtFront_03_JNT	match
Avatar_Sparxie_00_Model_Chara/Body	3	Avatar_Sparxie_00_Model_Chara/Main/Root_M/Spine1_M/skirt_JNT/skirtFrontLeft_01_JNT	0x07E44866	Main/Root_M/Spine1_M/skirt_JNT/skirtFrontLeft_01_JNT	match
Avatar_Sparxie_00_Model_Chara/Body	4	Avatar_Sparxie_00_Model_Chara/Main/Root_M/Spine1_M/skirt_JNT/skirtFrontLeft_01_JNT/skirtFrontLeft_02_JNT	0xAD10D3C6	Main/Root_M/Spine1_M/skirt_JNT/skirtFrontLeft_01_JNT/skirtFrontLeft_02_JNT	match
Avatar_Sparxie_00_Model_Chara/Body	5	Avatar_Sparxie_00_Model_Chara/Main/Root_M/Spine1_M/skirt_JNT/skirtFrontLeft_01_JNT/skirtFrontLeft_02_JNT/skirtFrontLeft_03_JNT	0x5BE768DD	Main/Root_M/Spine1_M/skirt_JNT/skirtFrontLeft_01_JNT/skirtFrontLeft_02_JNT/skirtFrontLeft_03_JNT	match
Avatar_Sparxie_00_Model_Chara/Body	6	Avatar_Sparxie_00_Model_Chara/Main/Root_M/Spine1_M/skirt_JNT/skirtLeft_01_JNT	0x178D00D7	Main/Root_M/Spine1_M/skirt_JNT/skirtLeft_01_JNT	match
Avatar_Sparxie_00_Model_Chara/Body	7	Avatar_Sparxie_00_Model_Chara/Main/Root_M/Spine1_M/skirt_JNT/skirtLeft_01_JNT/skirtLeft_02_JNT	0xFF5CFEB1	Main/Root_M/Spine1_M/skirt_JNT/skirtLeft_01_JNT/skirtLeft_02_JNT	match
Avatar_Sparxie_00_Model_Chara/Body	8	Avatar_Sparxie_00_Model_Chara/Main/Root_M/Spine1_M/skirt_JNT/skirtLeft_01_JNT/skirtLeft_02_JNT/skirtLeft_03_JNT	0xF0E62EDD	Main/Root_M/Spine1_M/skirt_JNT/skirtLeft_01_JNT/skirtLeft_02_JNT/skirtLeft_03_JNT	match
Avatar_Sparxie_00_Model_Chara/Body	9	Avatar_Sparxie_00_Model_Chara/Main/Root_M/Spine1_M/skirt_JNT/skirtBackLeft_01_JNT	0x63C01115	Main/Root_M/Spine1_M/skirt_JNT/skirtBackLeft_01_JNT	match
Avatar_Sparxie_00_Model_Chara/Body	10	Avatar_Sparxie_00_Model_Chara/Main/Root_M/Spine1_M/skirt_JNT/skirtBackLeft_01_JNT/skirtBackLeft_02_JNT	0x95DC4104	Main/Root_M/Spine1_M/skirt_JNT/skirtBackLeft_01_JNT/skirtBackLeft_02_JNT	match
Avatar_Sparxie_00_Model_Chara/Body	11	Avatar_Sparxie_00_Model_Chara/Main/Root_M/Spine1_M/skirt_JNT/skirtBackLeft_01_JNT/skirtBackLeft_02_JNT/skirtBackLeft_03_JNT	0x334817D4	Main/Root_M/Spine1_M/skirt_JNT/skirtBackLeft_01_JNT/skirtBackLeft_02_JNT/skirtBackLeft_03_JNT	match
Avatar_Sparxie_00_Model_Chara/Body	12	Avatar_Sparxie_00_Model_Chara/Main/Root_M/Spine1_M/skirt_JNT/skirtBackRight_01_JNT	0x7DE085CB	Main/Root_M/Spine1_M/skirt_JNT/skirtBackRight_01_JNT	match
Avatar_Sparxie_00_Model_Chara/Body	13	Avatar_Sparxie_00_Model_Chara/Main/Root_M/Spine1_M/skirt_JNT/skirtBackRight_01_JNT/skirtBackRight_02_JNT	0xC71913BD	Main/Root_M/Spine1_M/skirt_JNT/skirtBackRight_01_JNT/skirtBackRight_02_JNT	match
Avatar_Sparxie_00_Model_Chara/Body	14	Avatar_Sparxie_00_Model_Chara/Main/Root_M/Spine1_M/skirt_JNT/skirtBackRight_01_JNT/skirtBackRight_02_JNT/skirtBackRight_03_JNT	0x6289699B	Main/Root_M/Spine1_M/skirt_JNT/skirtBackRight_01_JNT/skirtBackRight_02_JNT/skirtBackRight_03_JNT	match
Avatar_Sparxie_00_Model_Chara/Body	15	Avatar_Sparxie_00_Model_Chara/Main/Root_M/Spine1_M/skirt_JNT/skirtRight_01_JNT	0x08FE6B46	Main/Root_M/Spine1_M/skirt_JNT/skirtRight_01_JNT	match
Avatar_Sparxie_00_Model_Chara/Body	16	Avatar_Sparxie_00_Model_Chara/Main/Root_M/Spine1_M/skirt_JNT/skirtRight_01_JNT/skirtRight_02_JNT	0x224262FE	Main/Root_M/Spine1_M/skirt_JNT/skirtRight_01_JNT/skirtRight_02_JNT	match
Avatar_Sparxie_00_Model_Chara/Body	17	Avatar_Sparxie_00_Model_Chara/Main/Root_M/Spine1_M/skirt_JNT/skirtRight_01_JNT/skirtRight_02_JNT/skirtRight_03_JNT	0x51465B61	Main/Root_M/Spine1_M/skirt_JNT/skirtRight_01_JNT/skirtRight_02_JNT/skirtRight_03_JNT	match
