root=Art_Sparxie_00
avatar=Avatar_Sparxie_00_Model_CharaAvatar
format=smrPath	index	bonePath(m_Bones)	boneHash(hex)	hashPath(avatar)	status
Art_Sparxie_00/Body	0	Art_Sparxie_00/Main/Root_M/Spine1_M/skirt_JNT/skirtFront_01_JNT	0xEAFAC734	Main/Root_M/Spine1_M/skirt_JNT/skirtFront_01_JNT	match
Art_Sparxie_00/Body	1	Art_Sparxie_00/Main/Root_M/Spine1_M/skirt_JNT/skirtFront_01_JNT/skirtFront_02_JNT	0x7DC3E84A	Main/Root_M/Spine1_M/skirt_JNT/skirtFront_01_JNT/skirtFront_02_JNT	match
Art_Sparxie_00/Body	2	Art_Sparxie_00/Main/Root_M/Spine1_M/skirt_JNT/skirtFront_01_JNT/skirtFront_02_JNT/skirtFront_03_JNT	0xC5406DC7	Main/Root_M/Spine1_M/skirt_JNT/skirtFront_01_JNT/skirtFront_02_JNT/skirtFront_03_JNT	match
Art_Sparxie_00/Body	3	Art_Sparxie_00/Main/Root_M/Spine1_M/skirt_JNT/skirtFrontLeft_01_JNT	0x07E44866	Main/Root_M/Spine1_M/skirt_JNT/skirtFrontLeft_01_JNT	match
Art_Sparxie_00/Body	4	Art_Sparxie_00/Main/Root_M/Spine1_M/skirt_JNT/skirtFrontLeft_01_JNT/skirtFrontLeft_02_JNT	0xAD10D3C6	Main/Root_M/Spine1_M/skirt_JNT/skirtFrontLeft_01_JNT/skirtFrontLeft_02_JNT	match
Art_Sparxie_00/Body	5	Art_Sparxie_00/Main/Root_M/Spine1_M/skirt_JNT/skirtFrontLeft_01_JNT/skirtFrontLeft_02_JNT/skirtFrontLeft_03_JNT	0x5BE768DD	Main/Root_M/Spine1_M/skirt_JNT/skirtFrontLeft_01_JNT/skirtFrontLeft_02_JNT/skirtFrontLeft_03_JNT	match
Art_Sparxie_00/Body	6	Art_Sparxie_00/Main/Root_M/Spine1_M/skirt_JNT/skirtLeft_01_JNT	0x178D00D7	Main/Root_M/Spine1_M/skirt_JNT/skirtLeft_01_JNT	match
Art_Sparxie_00/Body	7	Art_Sparxie_00/Main/Root_M/Spine1_M/skirt_JNT/skirtLeft_01_JNT/skirtLeft_02_JNT	0xFF5CFEB1	Main/Root_M/Spine1_M/skirt_JNT/skirtLeft_01_JNT/skirtLeft_02_JNT	match
Art_Sparxie_00/Body	8	Art_Sparxie_00/Main/Root_M/Spine1_M/skirt_JNT/skirtLeft_01_JNT/skirtLeft_02_JNT/skirtLeft_03_JNT	0xF0E62EDD	Main/Root_M/Spine1_M/skirt_JNT/skirtLeft_01_JNT/skirtLeft_02_JNT/skirtLeft_03_JNT	match
Art_Sparxie_00/Body	9	Art_Sparxie_00/Main/Root_M/Spine1_M/skirt_JNT/skirtBackLeft_01_JNT	0x63C01115	Main/Root_M/Spine1_M/skirt_JNT/skirtBackLeft_01_JNT	match
